pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
14,Cuttack,94,Athagarh,31,,,,,,,,302.0,432.0,3.0,8.0,1.0,5.0,2,0.0,0.0,4.0,757.0,0.0,5.0,762.0,0.0
14,Cuttack,94,Athagarh,32,,,,,,,,373.0,517.0,6.0,77.0,7.0,0.0,0,8.0,2.0,3.0,993.0,0.0,1.0,994.0,0.0
14,Cuttack,94,Athagarh,33,,,,,,,,217.0,494.0,0.0,7.0,7.0,0.0,0,4.0,1.0,4.0,734.0,0.0,4.0,738.0,0.0
14,Cuttack,94,Athagarh,34,,,,,,,,228.0,541.0,1.0,14.0,0.0,1.0,2,2.0,3.0,1.0,793.0,0.0,2.0,795.0,0.0
14,Cuttack,94,Athagarh,35,,,,,,,,300.0,287.0,3.0,6.0,5.0,1.0,0,1.0,0.0,0.0,603.0,0.0,4.0,607.0,0.0
14,Cuttack,94,Athagarh,36,,,,,,,,283.0,458.0,2.0,2.0,3.0,1.0,0,0.0,0.0,0.0,749.0,0.0,2.0,751.0,0.0
14,Cuttack,94,Athagarh,37,,,,,,,,365.0,377.0,3.0,17.0,0.0,1.0,0,1.0,2.0,0.0,766.0,0.0,5.0,771.0,0.0
14,Cuttack,94,Athagarh,38,,,,,,,,335.0,334.0,2.0,12.0,5.0,1.0,0,1.0,1.0,0.0,691.0,0.0,2.0,693.0,0.0
14,Cuttack,94,Athagarh,39,,,,,,,,284.0,380.0,0.0,16.0,6.0,0.0,0,0.0,2.0,0.0,688.0,0.0,4.0,692.0,0.0
14,Cuttack,94,Athagarh,40,,,,,,,,472.0,437.0,4.0,23.0,1.0,0.0,0,0.0,1.0,0.0,938.0,0.0,4.0,942.0,0.0
14,Cuttack,94,Athagarh,41,,,,,,,,210.0,262.0,3.0,20.0,0.0,0.0,0,1.0,1.0,1.0,498.0,0.0,0.0,498.0,0.0
14,Cuttack,94,Athagarh,42,,,,,,,,230.0,281.0,2.0,11.0,0.0,0.0,0,1.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0
14,Cuttack,94,Athagarh,43,,,,,,,,304.0,424.0,1.0,11.0,1.0,1.0,1,2.0,0.0,0.0,745.0,0.0,0.0,745.0,0.0
14,Cuttack,94,Athagarh,44,,,,,,,,158.0,238.0,1.0,4.0,1.0,0.0,0,0.0,1.0,0.0,403.0,0.0,0.0,403.0,0.0
14,Cuttack,94,Athagarh,45,,,,,,,,271.0,663.0,4.0,21.0,0.0,0.0,0,0.0,1.0,0.0,960.0,0.0,0.0,960.0,0.0
14,Cuttack,94,Athagarh,46,,,,,,,,182.0,261.0,1.0,17.0,0.0,0.0,0,4.0,0.0,0.0,465.0,0.0,0.0,465.0,0.0
14,Cuttack,94,Athagarh,47,,,,,,,,170.0,227.0,1.0,6.0,0.0,1.0,0,0.0,0.0,0.0,405.0,0.0,0.0,405.0,0.0
14,Cuttack,94,Athagarh,48,,,,,,,,155.0,394.0,6.0,29.0,0.0,1.0,1,1.0,1.0,3.0,591.0,0.0,0.0,591.0,0.0
14,Cuttack,94,Athagarh,49,,,,,,,,227.0,431.0,1.0,7.0,1.0,1.0,1,4.0,0.0,0.0,673.0,0.0,0.0,673.0,0.0
14,Cuttack,94,Athagarh,50,,,,,,,,240.0,359.0,1.0,13.0,1.0,1.0,"0
Page 2 of 9",0.0,0.0,0.0,615.0,0.0,0.0,615.0,0.0
14,Cuttack,94,Athagarh,51,,,,,,,,143.0,436.0,3.0,9.0,1.0,2.0,2,3.0,1.0,3.0,603.0,0.0,0.0,603.0,0.0
14,Cuttack,94,Athagarh,52,,,,,,,,160.0,458.0,2.0,20.0,0.0,2.0,0,4.0,1.0,2.0,649.0,0.0,0.0,649.0,0.0
14,Cuttack,94,Athagarh,53,,,,,,,,134.0,448.0,1.0,1.0,2.0,0.0,2,1.0,1.0,0.0,590.0,0.0,0.0,590.0,0.0
14,Cuttack,94,Athagarh,54,,,,,,,,113.0,508.0,4.0,11.0,0.0,1.0,0,2.0,0.0,0.0,639.0,0.0,0.0,639.0,0.0
14,Cuttack,94,Athagarh,55,,,,,,,,377.0,533.0,5.0,23.0,1.0,3.0,0,2.0,2.0,1.0,947.0,0.0,0.0,947.0,0.0
14,Cuttack,94,Athagarh,56,,,,,,,,389.0,458.0,1.0,25.0,2.0,0.0,2,2.0,0.0,1.0,880.0,0.0,0.0,880.0,0.0
14,Cuttack,94,Athagarh,57,,,,,,,,268.0,317.0,7.0,17.0,3.0,2.0,0,1.0,1.0,1.0,617.0,0.0,0.0,617.0,0.0
14,Cuttack,94,Athagarh,58,,,,,,,,298.0,637.0,3.0,25.0,1.0,0.0,0,1.0,1.0,0.0,966.0,0.0,0.0,966.0,0.0
14,Cuttack,94,Athagarh,59,,,,,,,,189.0,405.0,2.0,9.0,2.0,0.0,1,4.0,3.0,3.0,618.0,0.0,0.0,618.0,0.0
14,Cuttack,94,Athagarh,60,,,,,,,,289.0,322.0,3.0,11.0,2.0,0.0,0,0.0,0.0,0.0,627.0,0.0,107.0,734.0,0.0
14,Cuttack,94,Athagarh,61,,,,,,,,310.0,235.0,1.0,10.0,1.0,0.0,0,1.0,1.0,0.0,559.0,0.0,0.0,559.0,0.0
14,Cuttack,94,Athagarh,62,,,,,,,,306.0,268.0,14.0,23.0,2.0,0.0,1,1.0,4.0,0.0,619.0,0.0,0.0,619.0,0.0
14,Cuttack,94,Athagarh,63,,,,,,,,405.0,555.0,6.0,26.0,3.0,1.0,0,7.0,3.0,0.0,1006.0,0.0,0.0,1006.0,0.0
14,Cuttack,94,Athagarh,64,,,,,,,,279.0,516.0,3.0,34.0,1.0,1.0,0,1.0,3.0,1.0,839.0,0.0,102.0,941.0,0.0
14,Cuttack,94,Athagarh,65,,,,,,,,271.0,471.0,4.0,23.0,2.0,0.0,1,0.0,0.0,0.0,772.0,0.0,0.0,772.0,0.0
14,Cuttack,94,Athagarh,66,,,,,,,,403.0,508.0,8.0,26.0,1.0,1.0,0,2.0,4.0,2.0,955.0,0.0,0.0,955.0,0.0
14,Cuttack,94,Athagarh,67,,,,,,,,440.0,450.0,1.0,4.0,2.0,2.0,0,0.0,0.0,0.0,899.0,0.0,0.0,899.0,0.0
14,Cuttack,94,Athagarh,68,,,,,,,,338.0,481.0,7.0,14.0,4.0,2.0,3,1.0,2.0,3.0,855.0,0.0,0.0,855.0,0.0
14,Cuttack,94,Athagarh,69,,,,,,,,276.0,542.0,0.0,42.0,2.0,0.0,2,2.0,2.0,1.0,869.0,0.0,0.0,869.0,0.0
14,Cuttack,94,Athagarh,70,,,,,,,,393.0,519.0,3.0,19.0,2.0,3.0,2,2.0,3.0,3.0,949.0,0.0,0.0,949.0,0.0
14,Cuttack,94,Athagarh,71,,,,,,,,269.0,436.0,2.0,10.0,0.0,0.0,1,3.0,0.0,0.0,721.0,0.0,0.0,721.0,0.0
14,Cuttack,94,Athagarh,72,,,,,,,,241.0,279.0,6.0,11.0,2.0,1.0,0,1.0,0.0,0.0,541.0,0.0,0.0,541.0,0.0
14,Cuttack,94,Athagarh,73,,,,,,,,285.0,519.0,0.0,11.0,2.0,2.0,0,1.0,3.0,1.0,824.0,0.0,0.0,824.0,0.0
14,Cuttack,94,Athagarh,74,,,,,,,,138.0,683.0,4.0,72.0,2.0,2.0,0,4.0,3.0,3.0,911.0,0.0,0.0,911.0,0.0
14,Cuttack,94,Athagarh,75,,,,,,,,276.0,459.0,3.0,19.0,0.0,0.0,1,0.0,0.0,0.0,758.0,0.0,0.0,758.0,0.0
14,Cuttack,94,Athagarh,76,,,,,,,,249.0,217.0,6.0,5.0,2.0,1.0,2,0.0,2.0,2.0,486.0,0.0,0.0,486.0,0.0
14,Cuttack,94,Athagarh,77,,,,,,,,266.0,358.0,16.0,18.0,1.0,0.0,0,0.0,0.0,1.0,660.0,0.0,0.0,660.0,0.0
14,Cuttack,94,Athagarh,78,,,,,,,,294.0,247.0,3.0,4.0,2.0,0.0,1,1.0,0.0,0.0,552.0,0.0,0.0,552.0,0.0
14,Cuttack,94,Athagarh,79,,,,,,,,145.0,238.0,2.0,6.0,1.0,0.0,0,0.0,0.0,0.0,392.0,0.0,0.0,392.0,0.0
14,Cuttack,94,Athagarh,80,,,,,,,,97.0,261.0,1.0,28.0,0.0,0.0,0,0.0,0.0,1.0,388.0,0.0,0.0,388.0,0.0
14,Cuttack,94,Athagarh,81,,,,,,,,171.0,276.0,0.0,26.0,0.0,0.0,1,0.0,0.0,0.0,474.0,0.0,0.0,474.0,0.0
14,Cuttack,94,Athagarh,82,,,,,,,,391.0,433.0,3.0,57.0,1.0,2.0,1,0.0,0.0,1.0,889.0,0.0,0.0,889.0,0.0
14,Cuttack,94,Athagarh,83,,,,,,,,353.0,453.0,2.0,8.0,0.0,2.0,"0
Page 3 of 9",3.0,0.0,2.0,823.0,0.0,0.0,823.0,0.0
14,Cuttack,94,Athagarh,84,,,,,,,,82.0,418.0,2.0,62.0,0.0,2.0,2,1.0,4.0,3.0,576.0,0.0,0.0,576.0,0.0
14,Cuttack,94,Athagarh,85,,,,,,,,347.0,388.0,3.0,9.0,1.0,1.0,2,4.0,0.0,2.0,757.0,0.0,0.0,757.0,0.0
14,Cuttack,94,Athagarh,86,,,,,,,,182.0,303.0,2.0,90.0,1.0,5.0,1,2.0,0.0,0.0,586.0,0.0,0.0,586.0,0.0
14,Cuttack,94,Athagarh,87,,,,,,,,763.0,196.0,2.0,22.0,1.0,0.0,0,1.0,1.0,4.0,990.0,0.0,0.0,990.0,0.0
14,Cuttack,94,Athagarh,88,,,,,,,,502.0,491.0,5.0,8.0,2.0,2.0,1,2.0,2.0,2.0,1017.0,0.0,0.0,1017.0,0.0
14,Cuttack,94,Athagarh,89,,,,,,,,253.0,538.0,5.0,39.0,0.0,3.0,2,2.0,0.0,3.0,845.0,0.0,0.0,845.0,0.0
14,Cuttack,94,Athagarh,90,,,,,,,,305.0,503.0,4.0,29.0,4.0,1.0,4,22.0,3.0,3.0,878.0,0.0,0.0,878.0,0.0
14,Cuttack,94,Athagarh,91,,,,,,,,427.0,336.0,4.0,6.0,1.0,2.0,3,3.0,5.0,5.0,792.0,0.0,0.0,792.0,0.0
14,Cuttack,94,Athagarh,92,,,,,,,,501.0,414.0,3.0,5.0,0.0,0.0,1,3.0,3.0,2.0,932.0,0.0,0.0,932.0,0.0
14,Cuttack,94,Athagarh,93,,,,,,,,223.0,526.0,2.0,49.0,0.0,6.0,0,2.0,0.0,5.0,813.0,0.0,0.0,813.0,0.0
14,Cuttack,94,Athagarh,94,,,,,,,,307.0,385.0,0.0,12.0,0.0,1.0,3,3.0,0.0,1.0,712.0,0.0,0.0,712.0,0.0
14,Cuttack,94,Athagarh,95,,,,,,,,176.0,392.0,2.0,10.0,1.0,3.0,0,2.0,3.0,3.0,592.0,0.0,0.0,592.0,0.0
14,Cuttack,94,Athagarh,96,,,,,,,,216.0,349.0,2.0,3.0,0.0,0.0,0,0.0,0.0,1.0,571.0,0.0,0.0,571.0,0.0
14,Cuttack,94,Athagarh,97,,,,,,,,427.0,387.0,0.0,11.0,1.0,2.0,0,2.0,0.0,3.0,833.0,0.0,0.0,833.0,0.0
14,Cuttack,94,Athagarh,98,,,,,,,,323.0,355.0,4.0,14.0,3.0,1.0,1,0.0,2.0,4.0,707.0,0.0,0.0,707.0,0.0
14,Cuttack,94,Athagarh,99,,,,,,,,260.0,640.0,3.0,25.0,0.0,0.0,3,1.0,0.0,0.0,932.0,0.0,0.0,932.0,0.0
14,Cuttack,94,Athagarh,100,,,,,,,,537.0,388.0,3.0,11.0,0.0,0.0,0,4.0,0.0,0.0,943.0,0.0,0.0,943.0,0.0
14,Cuttack,94,Athagarh,101,,,,,,,,212.0,406.0,4.0,17.0,0.0,0.0,1,3.0,2.0,0.0,645.0,0.0,0.0,645.0,0.0
14,Cuttack,94,Athagarh,102,,,,,,,,216.0,250.0,2.0,23.0,0.0,0.0,0,2.0,0.0,1.0,494.0,0.0,0.0,494.0,0.0
14,Cuttack,94,Athagarh,103,,,,,,,,307.0,335.0,2.0,10.0,0.0,1.0,0,5.0,2.0,0.0,662.0,0.0,0.0,662.0,0.0
14,Cuttack,94,Athagarh,104,,,,,,,,346.0,371.0,4.0,4.0,4.0,0.0,0,7.0,1.0,0.0,737.0,0.0,0.0,737.0,0.0
14,Cuttack,94,Athagarh,105,,,,,,,,193.0,623.0,1.0,52.0,1.0,1.0,3,3.0,1.0,3.0,881.0,0.0,0.0,881.0,0.0
14,Cuttack,94,Athagarh,106,,,,,,,,244.0,352.0,3.0,25.0,1.0,1.0,1,1.0,2.0,4.0,634.0,0.0,0.0,634.0,0.0
14,Cuttack,94,Athagarh,107,,,,,,,,61.0,395.0,1.0,26.0,1.0,2.0,0,2.0,1.0,2.0,491.0,0.0,0.0,491.0,0.0
14,Cuttack,94,Athagarh,108,,,,,,,,304.0,522.0,3.0,16.0,0.0,0.0,1,1.0,1.0,3.0,851.0,0.0,0.0,851.0,0.0
14,Cuttack,94,Athagarh,109,,,,,,,,214.0,162.0,0.0,4.0,0.0,1.0,2,2.0,0.0,0.0,385.0,0.0,0.0,385.0,0.0
14,Cuttack,94,Athagarh,110,,,,,,,,228.0,347.0,4.0,7.0,0.0,2.0,1,0.0,0.0,1.0,590.0,0.0,0.0,590.0,0.0
14,Cuttack,94,Athagarh,111,,,,,,,,166.0,345.0,2.0,9.0,2.0,0.0,1,0.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0
14,Cuttack,94,Athagarh,112,,,,,,,,197.0,535.0,3.0,13.0,1.0,0.0,3,2.0,1.0,2.0,757.0,0.0,0.0,757.0,0.0
14,Cuttack,94,Athagarh,113,,,,,,,,262.0,519.0,2.0,19.0,1.0,0.0,3,7.0,0.0,1.0,814.0,0.0,0.0,814.0,0.0
14,Cuttack,94,Athagarh,114,,,,,,,,264.0,477.0,1.0,20.0,1.0,1.0,1,2.0,0.0,0.0,767.0,0.0,0.0,767.0,0.0
14,Cuttack,94,Athagarh,115,,,,,,,,227.0,802.0,2.0,8.0,1.0,1.0,0,1.0,1.0,1.0,1044.0,0.0,0.0,1044.0,0.0
14,Cuttack,94,Athagarh,116,,,,,,,,165.0,276.0,1.0,14.0,2.0,0.0,"0
Page 4 of 9",1.0,0.0,0.0,459.0,0.0,0.0,459.0,0.0
14,Cuttack,94,Athagarh,117,,,,,,,,172.0,279.0,1.0,4.0,0.0,0.0,1,0.0,0.0,0.0,457.0,0.0,0.0,457.0,0.0
14,Cuttack,94,Athagarh,118,,,,,,,,223.0,159.0,1.0,3.0,1.0,0.0,0,1.0,1.0,0.0,389.0,0.0,0.0,389.0,0.0
14,Cuttack,94,Athagarh,119,,,,,,,,428.0,501.0,2.0,15.0,3.0,1.0,2,0.0,2.0,0.0,954.0,0.0,0.0,954.0,0.0
14,Cuttack,94,Athagarh,120,,,,,,,,406.0,585.0,3.0,17.0,3.0,0.0,2,1.0,1.0,1.0,1019.0,0.0,0.0,1019.0,0.0
14,Cuttack,94,Athagarh,121,,,,,,,,352.0,417.0,0.0,9.0,1.0,0.0,0,0.0,1.0,0.0,780.0,0.0,0.0,780.0,0.0
14,Cuttack,94,Athagarh,122,,,,,,,,266.0,281.0,1.0,11.0,2.0,1.0,0,0.0,0.0,1.0,563.0,0.0,0.0,563.0,0.0
14,Cuttack,94,Athagarh,123,,,,,,,,309.0,566.0,1.0,6.0,0.0,0.0,1,1.0,0.0,1.0,885.0,0.0,0.0,885.0,0.0
14,Cuttack,94,Athagarh,124,,,,,,,,303.0,233.0,3.0,4.0,0.0,0.0,0,4.0,1.0,2.0,550.0,0.0,0.0,550.0,0.0
14,Cuttack,94,Athagarh,125,,,,,,,,248.0,432.0,1.0,4.0,0.0,1.0,0,1.0,0.0,0.0,687.0,0.0,0.0,687.0,0.0
